Genotype	MouseID	T_cell_subset	TCR_chain	Cys_present	Cys_absent	Cys_index
wt	154	Pre-sel'n	a	4	241	1.63265306122449
wt	155	Pre-sel'n	a	22	2546	0.856697819314642
wt	156	Pre-sel'n	a	5	1211	0.411184210526316
wt	157	Pre-sel'n	a	8	516	1.52671755725191
wt	154	CD8aa IEL	a	27	979	2.68389662027833
wt	155	CD8aa IEL	a	39	915	4.08805031446541
wt	156	CD8aa IEL	a	20	714	2.72479564032698
wt	157	CD8aa IEL	a	34	1411	2.35294117647059
wt	154	CD4 Tconv	a	6	17968	0.0333815511294091
wt	155	CD4 Tconv	a	1	5922	0.0168833361472227
wt	156	CD4 Tconv	a	1	8054	0.0124146492861577
wt	157	CD4 Tconv	a	1	5148	0.0194212468440474
wt	190	CD4 Tconv	a	0	1627	0
wt	194	CD4 Tconv	a	1	1281	0.078003120124805
wt	204	CD4 Tconv	a	1	3680	0.0271665308340125
wt	154	CD8 Tconv	a	2	7354	0.0271886895051658
wt	155	CD8 Tconv	a	5	4158	0.120105693009849
wt	156	CD8 Tconv	a	1	455	0.219298245614035
wt	157	CD8 Tconv	a	6	8546	0.0701590271281572
wt	190	CD8 Tconv	a	2	2990	0.0668449197860962
wt	194	CD8 Tconv	a	1	1685	0.0593119810201661
wt	204	CD8 Tconv	a	1	2521	0.0396510705789056
wt	154	Pre-sel'n	b	65	4804	1.3349763811871
wt	155	Pre-sel'n	b	141	15366	0.909266782743277
wt	156	Pre-sel'n	b	94	9694	0.960359624029424
wt	157	Pre-sel'n	b	53	4233	1.23658422771815
wt	154	CD8aa IEL	b	116	2676	4.15472779369628
wt	155	CD8aa IEL	b	66	1562	4.05405405405405
wt	156	CD8aa IEL	b	55	1930	2.77078085642317
wt	157	CD8aa IEL	b	104	3506	2.8808864265928
wt	182	CD8aa IEL	b	21	332	5.94900849858357
wt	183	CD8aa IEL	b	16	411	3.74707259953162
wt	184	CD8aa IEL	b	65	1200	5.13833992094862
wt	185	CD8aa IEL	b	69	1400	4.69707283866576
wt	154	CD4 Tconv	b	3	8655	0.0346500346500346
wt	155	CD4 Tconv	b	3	12891	0.0232666356444858
wt	156	CD4 Tconv	b	6	16922	0.0354442344045369
wt	157	CD4 Tconv	b	2	11600	0.0172384071711774
wt	190	CD4 Tconv	b	1	4300	0.0232504068821204
wt	194	CD4 Tconv	b	3	4380	0.0684462696783025
wt	204	CD4 Tconv	b	2	7766	0.0257466529351184
wt	154	CD8 Tconv	b	2	16448	0.0121580547112462
wt	155	CD8 Tconv	b	1	2632	0.0379794910748196
wt	156	CD8 Tconv	b	1	831	0.120192307692308
wt	157	CD8 Tconv	b	5	15920	0.0313971742543171
wt	190	CD8 Tconv	b	1	4839	0.0206611570247934
wt	194	CD8 Tconv	b	3	8266	0.0362800822348531
wt	204	CD8 Tconv	b	2	5731	0.0348857491714635
dko	169	Pre-sel'n	a	30	3278	0.90689238210399
dko	170	Pre-sel'n	a	22	3833	0.570687418936446
dko	174	Pre-sel'n	a	11	1311	0.832072617246596
dko	175	Pre-sel'n	a	8	803	0.986436498150432
dko	174	CD8aa IEL	a	15	1160	1.27659574468085
dko	175	CD8aa IEL	a	27	1869	1.42405063291139
dko	168	CD4 Tconv	a	17	798	2.08588957055215
dko	169	CD4 Tconv	a	16	1911	0.83030617540218
dko	170	CD4 Tconv	a	28	2648	1.04633781763827
dko	174	CD4 Tconv	a	25	1429	1.71939477303989
dko	175	CD4 Tconv	a	36	3270	1.08892921960073
dko	168	CD8 Tconv	a	2	659	0.302571860816944
dko	169	CD8 Tconv	a	4	968	0.411522633744856
dko	170	CD8 Tconv	a	12	1554	0.766283524904214
dko	174	CD8 Tconv	a	4	594	0.668896321070234
dko	175	CD8 Tconv	a	13	945	1.35699373695198
dko	169	Pre-sel'n	b	48	2460	1.91387559808612
dko	170	Pre-sel'n	b	453	22624	1.96299345668848
dko	174	Pre-sel'n	b	153	9442	1.59458051068265
dko	175	Pre-sel'n	b	103	6076	1.66693639747532
dko	174	CD8aa IEL	b	45	2079	2.11864406779661
dko	175	CD8aa IEL	b	88	3861	2.22841225626741
dko	168	CD4 Tconv	b	21	1361	1.51953690303907
dko	169	CD4 Tconv	b	24	2666	0.892193308550186
dko	170	CD4 Tconv	b	47	4123	1.12709832134293
dko	174	CD4 Tconv	b	39	2552	1.50521034349672
dko	175	CD4 Tconv	b	85	5974	1.40287176101667
dko	168	CD8 Tconv	b	24	1754	1.34983127109111
dko	169	CD8 Tconv	b	41	2258	1.7833840800348
dko	170	CD8 Tconv	b	59	3177	1.82323856613103
dko	174	CD8 Tconv	b	49	2657	1.81079083518108
