ESOI	genotype	subset	invdl_iel	invdl_c4	invdl_c8	invdl_reg	overlapping_clones	clones
103_t_1	wt	t_1	75.5390309411043	11.681697556275	9.42874065996565	3.350530842655	444	3890
107_t_1	wt	t_1	79.8722216316604	10.5378623841557	7.38439379026447	2.20552219391943	1459	9022
92_t_1	wt	t_1	73.7747199987908	15.0577866074656	8.03265532791485	3.13483806582875	764	5580
93_t_1	wt	t_1	73.0300208980762	14.2807004946547	10.1754421864007	2.5138364208684	509	4453
97_t_1	wt	t_1	67.1520748859639	18.9781391681407	10.6342716386976	3.23551430719783	235	2944
99_t_1	wt	t_1	77.194998676375	10.4239364299958	7.62429553084239	4.75676936278683	457	4077
104_t_1	zap	t_1	72.6400654615455	13.2714969172522	12.3910261762709	1.69741144493139	1175	8424
105_t_1	zap	t_1	72.812446318818	13.5019280983818	9.54164306255378	4.14398252024641	1363	10627
106_t_1	zap	t_1	70.4127335399446	15.8192403642029	10.345212513821	3.4228135820315	1873	13358
32_t_1	zap	t_1	83.1699999365797	7.72018503475366	7.13605832002736	1.97375670863925	498	929
33_t_1	zap	t_1	71.5335564963492	12.7900230683549	12.0895135722431	3.58690686305286	269	478
34_t_1	zap	t_1	77.3898413335397	13.3913112866453	8.0024277088708	1.21641967094412	187	375
35_t_1	zap	t_1	69.239587329812	16.735763261414	8.53482144849912	5.48982796027484	64	112
103_t_4	wt	t_4	2.44294066405708	80.9786219462864	5.9916967481201	10.5867406415364	1034	4893
107_t_4	wt	t_4	4.03906227064466	80.167525479246	8.34746060870131	7.44595164140806	1304	5209
92_t_4	wt	t_4	1.94734248472381	80.7905440664267	7.74908038178773	9.51303306706174	1300	4765
93_t_4	wt	t_4	1.75906057630173	79.6959590267475	7.98195521503244	10.5630251819183	599	2460
97_t_4	wt	t_4	3.53853841863629	75.3379808087595	12.3334219067822	8.79005886582204	1521	6297
99_t_4	wt	t_4	2.67650167000694	80.566208227811	6.18528285592901	10.5720072462531	1942	7693
104_t_4	zap	t_4	39.3390932502742	44.433263073336	9.4099619243102	6.81768175207959	2573	15742
105_t_4	zap	t_4	39.4057440522124	44.0745803047548	9.28330309520399	7.2363725478288	2248	13780
106_t_4	zap	t_4	40.9225677179712	42.5501041443915	9.90377345080032	6.62355468683698	3116	18522
32_t_4	zap	t_4	67.1827773766396	19.9918252678739	7.76540361559775	5.05999373988876	273	585
33_t_4	zap	t_4	55.5656666870852	29.884774458679	8.85767199243584	5.69188686179999	1210	3053
34_t_4	zap	t_4	58.2060496634523	28.8602984127232	7.93678606676322	4.99686585706134	858	1990
35_t_4	zap	t_4	63.84475967216	24.1192530849337	7.11916902639791	4.91681821650842	492	1034
103_t_8	wt	t_8	1.72763028849862	7.36549755792986	90.0859820883778	0.820890065193681	955	3576
107_t_8	wt	t_8	1.72291002800536	6.79052821817174	90.8243423897318	0.66221936409105	1433	4483
92_t_8	wt	t_8	2.39388913475553	8.87399498569035	87.6086741585335	1.12344172102061	1697	6084
93_t_8	wt	t_8	2.29390927049896	10.7391723407737	85.513713689389	1.45320469933834	807	2644
97_t_8	wt	t_8	3.71156443409881	10.2335788770141	85.1705041401093	0.884352548777851	1746	6686
99_t_8	wt	t_8	2.83013628243897	11.0832491072592	85.0009027408316	1.08571186947023	1703	6315
104_t_8	zap	t_8	49.7789444257428	28.4980306625276	17.8945996161335	3.82842529559612	1412	9430
105_t_8	zap	t_8	49.5513961819012	27.6027858706236	18.2496617821678	4.59615616530743	2927	16873
32_t_8	zap	t_8	71.0741275243425	14.6855022497145	12.8782515581414	1.36211866780162	384	764
33_t_8	zap	t_8	68.9468628561433	16.439956882878	11.9202866534032	2.69289360757539	1108	2825
34_t_8	zap	t_8	70.7313974705133	15.0302966398771	11.3884903114033	2.84981557820635	933	2291
35_t_8	zap	t_8	72.3538491496195	15.2825045163291	10.8173210588462	1.54632527520523	573	1276
103_t_r	wt	t_r	7.45140625701501	40.7551806374591	8.89007710165152	42.9033360038744	371	4247
107_t_r	wt	t_r	5.39092847871209	43.9145766667532	3.99483933369668	46.699655520838	206	1827
92_t_r	wt	t_r	5.73771943469266	44.407504735761	12.198959450255	37.6558163792913	116	1442
93_t_r	wt	t_r	7.11144139325849	30.0702109899311	12.0912941563061	50.7270534605043	209	1934
97_t_r	wt	t_r	7.51482609896713	31.9215439520113	13.0020933530367	47.5615365959848	224	2382
99_t_r	wt	t_r	11.9565202382587	34.8156230967266	11.6850398657265	41.5428167992881	351	4149
103_g8a	wt	g8a	89.1186532399065	5.04107236473077	5.03776768445661	0.802506710906155	615	3467
107_g8a	wt	g8a	90.3427894957111	2.94626082761875	4.4686983398778	2.24225133679233	348	1800
92_g8a	wt	g8a	88.9436899018357	2.96544651197053	6.5110267905387	1.57983679565506	503	2787
